date,power_price_eur_mwh,gas_price_eur_mwh,carbon_price_eur_t,fuel_cost_eur_mwh,carbon_cost_eur_mwh,css
2023-05-15,113.84,32.31399917602539,87.14,64.62799835205078,17.428,31.78400164794922
2023-05-16,79.3,31.820999145507813,88.93,63.641998291015625,17.786,-2.127998291015629
2023-05-17,78.58,31.952999114990234,88.04,63.90599822998047,17.608,-2.933998229980471
2023-05-18,86.73,29.78499984741211,89.65,59.56999969482422,17.930000000000003,9.230000305175782
2023-05-19,87.28,30.176000595092773,89.43,60.35200119018555,17.886000000000003,9.041998809814451
2023-05-22,97.33,29.711000442504883,87.25,59.422000885009766,17.45,20.457999114990233
2023-05-23,72.79,29.12700080871582,85.8,58.25400161743164,17.16,-2.6240016174316345
2023-05-24,102.27,27.78499984741211,84.79,55.56999969482422,16.958000000000002,29.742000305175775
2023-05-25,81.65,25.45199966430664,82.63,50.90399932861328,16.526,14.220000671386725
2023-05-26,69.98,24.520000457763672,83.13,49.040000915527344,16.626,4.313999084472659
2023-05-30,87.74,24.680999755859375,80.38,49.36199951171875,16.076,22.302000488281244
2023-05-31,72.32,26.851999282836914,80.77,53.70399856567383,16.154,2.462001434326165
2023-06-01,72.9,23.10300064086914,78.95,46.20600128173828,15.790000000000001,10.903998718261724
2023-06-02,81.02,23.68899917602539,78.52,47.37799835205078,15.704,17.938001647949214
2023-06-05,90.76,28.47800064086914,82.86,56.95600128173828,16.572,17.231998718261725
2023-06-06,98.14,24.860000610351563,81.64,49.720001220703125,16.328,32.09199877929687
2023-06-07,100.93,26.33099937438965,83.86,52.6619987487793,16.772000000000002,31.496001251220708
2023-06-08,84.52,26.94499969482422,83.35,53.88999938964844,16.669999999999998,13.96000061035156
2023-06-09,86.68,32.04899978637695,86.14,64.0979995727539,17.228,5.354000427246099
2023-06-12,96.4,31.035999298095703,88.22,62.071998596191406,17.644000000000002,16.684001403808598
2023-06-13,90.03,36.05099868774414,90.72,72.10199737548828,18.144000000000002,-0.21599737548828202
2023-06-14,102.94,38.3120002746582,93.62,76.6240005493164,18.724,7.591999450683591
2023-06-15,120.31,41.14500045776367,92.93,82.29000091552734,18.586000000000002,19.433999084472656
2023-06-16,127.52,35.007999420166016,91.92,70.01599884033203,18.384,39.120001159667964
2023-06-20,121.15,38.70800018310547,94.51,77.41600036621094,18.902,24.831999633789067
2023-06-21,123.47,36.74300003051758,90.85,73.48600006103516,18.169999999999998,31.813999938964844
2023-06-22,125.71,34.09700012207031,90.95,68.194000244140625,18.19,39.32599975585937
2023-06-23,106.41,32.50699996948242,87.55,65.01399993896484,17.51,23.88600006103515
2023-06-26,97.49,31.975000381469727,86.49,63.95000076293945,17.298,16.241999237060543
2023-06-27,101.95,34.50600051879883,89.09,69.01200103759766,17.818,15.119998962402345
2023-06-28,112.52,34.125,88.21,68.25,17.642,26.627999999999997
2023-06-29,118.08,35.18000030517578,88.13,70.36000061035156,17.626,30.093999389648435
2023-06-30,110.03,37.10300064086914,89.57,74.20600128173828,17.913999999999998,17.909998718261722
2023-07-03,53.22,33.92900085449219,87.58,67.858001708984375,17.516000000000002,-32.15400170898438
2023-07-05,69.8,34.37300109863281,85.81,68.746002197265625,17.162000000000003,-16.10800219726563
2023-07-06,107.2,32.347999572753906,86.29,64.69599914550781,17.258000000000003,25.246000854492188
2023-07-07,102.97,33.47800064086914,86.15,66.95600128173828,17.23,18.783998718261717
2023-07-10,113.99,30.226999282836914,86.26,60.45399856567383,17.252000000000002,36.284001434326164
2023-07-11,105.96,29.06100082397461,87.05,58.12200164794922,17.41,30.427998352050775
2023-07-12,87.51,26.638999938964844,85.83,53.27799987792969,17.166,17.066000122070317
2023-07-13,97.71,26.60700035095215,85.88,53.2140007019043,17.176,27.3199992980957
2023-07-14,96.97,25.957000732421875,86.35,51.91400146484375,17.27,27.78599853515625
2023-07-17,81.92,25.10099983215332,86.78,50.20199966430664,17.356,14.36200033569336
2023-07-18,106.46,27.069000244140625,88.18,54.13800048828125,17.636000000000003,34.68599951171874
2023-07-19,97.32,26.96299934387207,88.98,53.92599868774414,17.796000000000003,25.59800131225585
2023-07-20,96.51,28.01799964904785,90.84,56.0359992980957,18.168000000000003,22.3060007019043
2023-07-21,104.4,28.163999557495117,91.82,56.327999114990234,18.364,29.70800088500977
2023-07-24,90.53,30.55699920654297,91.29,61.11399841308594,18.258000000000003,11.158001586914061
2023-07-25,104.15,32.64799880981445,92.34,65.2959976196289,18.468,20.3860023803711
2023-07-26,95.24,29.274999618530273,90.77,58.54999923706055,18.154,18.536000762939448
2023-07-27,93.91,28.43400001525879,90.92,56.86800003051758,18.184,18.857999969482417
2023-07-28,95.92,25.840999603271484,88.7,51.68199920654297,17.740000000000002,26.49800079345703
2023-07-31,70.97,28.365999221801758,86.81,56.731998443603516,17.362000000000002,-3.1239984436035186
2023-08-01,79.43,27.12299919128418,84.62,54.24599838256836,16.924000000000003,8.260001617431644
2023-08-02,68.29,28.742000579833984,83.2,57.48400115966797,16.64,-5.834001159667963
2023-08-03,45.41,30.472999572753906,84.41,60.94599914550781,16.882,-32.41799914550782
2023-08-04,98.59,28.85300064086914,83.41,57.70600128173828,16.682,24.201998718261724
2023-08-07,19.44,30.48699951171875,82.64,60.9739990234375,16.528000000000002,-58.06199902343751
2023-08-08,12.06,31.06599998474121,83.97,62.13199996948242,16.794,-66.86599996948242
2023-08-09,88.35,39.823001861572266,83.9,79.64600372314453,16.78,-8.076003723144538
2023-08-10,102.17,37.055999755859375,84.55,74.11199951171875,16.91,11.148000488281252
2023-08-11,100.44,35.29999923706055,86.8,70.5999984741211,17.36,12.480001525878905
2023-08-14,103.37,34.433998107910156,87.95,68.86799621582031,17.59,16.912003784179692
2023-08-15,93.56,38.8129997253418,86.87,77.6259994506836,17.374000000000002,-1.4399994506835938
2023-08-16,110.81,37.784000396728516,88.58,75.56800079345703,17.716,17.52599920654297
2023-08-17,111.36,36.82500076293945,88.85,73.6500015258789,17.77,19.939998474121094
2023-08-18,108.99,36.40999984741211,88.05,72.81999969482422,17.61,18.560000305175777
2023-08-21,121.11,40.78200149536133,87.85,81.56400299072266,17.57,21.975997009277343
2023-08-22,123.15,42.90800094604492,90.01,85.81600189208984,18.002000000000002,19.33199810791016
2023-08-23,146.55,36.7859992980957,88,73.5719985961914,17.6,55.378001403808604
2023-08-24,146.95,31.937999725341797,85.21,63.875999450683594,17.041999999999998,66.0320005493164
2023-08-25,116.26,34.777000427246094,85.25,69.55400085449219,17.05,29.655999145507817
2023-08-28,118.67,38.41400146484375,85.6,76.8280029296875,17.12,24.7219970703125
2023-08-29,122.9,35.19499969482422,85,70.38999938964844,17,35.51000061035157
2023-08-30,114.93,35.992000579833984,86,71.98400115966797,17.2,25.74599884033204
2023-08-31,104.3,35.02899932861328,86.03,70.05799865722656,17.206,17.036001342773435
2023-09-01,108.57,35.617000579833984,85.64,71.23400115966797,17.128,20.207998840332024
2023-09-05,103.54,34.44900131225586,83.91,68.89800262451172,16.782,17.859997375488287
2023-09-06,105.62,31.075000762939453,83.7,62.150001525878906,16.740000000000002,26.729998474121096
2023-09-07,100.99,32.755001068115234,83.29,65.51000213623047,16.658,18.821997863769525
2023-09-08,108.23,34.507999420166016,81.62,69.01599884033203,16.324,22.89000115966797
2023-09-11,152.87,35.847999572753906,81.73,71.69599914550781,16.346,64.82800085449219
2023-09-12,131.45,34.70100021362305,81.12,69.4020004272461,16.224,45.82399957275389
2023-09-13,109.94,36.81700134277344,83.76,73.634002685546875,16.752000000000002,19.55399731445312
2023-09-14,120.47,35.520999908447266,82.93,71.04199981689453,16.586000000000002,32.84200018310547
2023-09-15,108.19,36.483001708984375,82.1,72.96600341796875,16.419999999999998,18.80399658203125
2023-09-18,95.3,34.474998474121094,80.88,68.94999694824219,16.176,10.174003051757811
2023-09-19,37.52,36.78200149536133,81.3,73.56400299072266,16.26,-52.30400299072265
2023-09-20,49.46,37.284000396728516,82.76,74.56800079345703,16.552000000000003,-41.66000079345703
2023-09-21,103.06,39.10499954223633,84.43,78.20999908447266,16.886000000000003,7.964000915527343
2023-09-22,103.98,39.79100036621094,85.3,79.582000732421875,17.06,7.33799926757813
2023-09-25,105.8,44.44200134277344,84.89,88.884002685546875,16.978,-0.06200268554687938
2023-09-26,128.77,40.321998596191406,82.51,80.64399719238281,16.502000000000002,31.624002807617195
2023-09-27,124.48,39.29600143432617,81.86,78.59200286865234,16.372,29.51599713134766
2023-09-28,112.52,39.736000061035156,83.11,79.47200012207031,16.622,16.425999877929684
2023-09-29,105.27,41.85900115966797,81.45,83.71800231933594,16.290000000000003,5.261997680664056
2023-10-02,118.15,39.334999084472656,80.7,78.66999816894531,16.14,23.340001831054693
2023-10-03,22.96,36.98699951171875,79.8,73.9739990234375,15.96,-66.9739990234375
2023-10-04,69.49,38.441001892089844,81.82,76.88200378417969,16.364,-23.756003784179693
2023-10-05,101.61,36.207000732421875,80.86,72.41400146484375,16.172,13.023998535156249
2023-10-06,71.6,38.23099899291992,80.62,76.46199798583984,16.124000000000002,-20.98599798583985
2023-10-09,116.01,43.952999114990234,81.63,87.90599822998047,16.326,11.778001770019536
2023-10-10,112.39,49.45500183105469,84.74,98.910003662109375,16.948,-3.468003662109375
2023-10-11,59.8,46.06800079345703,83.78,92.13600158691406,16.756,-49.092001586914066
2023-10-12,122.71,53.00199890136719,85.45,106.00399780273438,17.09,-0.3839978027343811
2023-10-13,68.41,53.981998443603516,85.66,107.96399688720703,17.132,-56.68599688720704
2023-10-16,133.7,48.46699905395508,83.41,96.93399810791016,16.682,20.084001892089834
2023-10-17,130.12,48.895999908447266,82.65,97.79199981689453,16.53,15.798000183105472
2023-10-18,98.44,50.83300018310547,81.79,101.66600036621094,16.358,-19.58400036621094
2023-10-19,93.41,50.172000885009766,82,100.34400177001953,16.400000000000002,-23.334001770019537
2023-10-20,87.24,51.11199951171875,81.67,102.2239990234375,16.334,-31.317999023437505
2023-10-23,125.02,51.2760009765625,80.3,102.552001953125,16.06,6.407998046874997
2023-10-24,117.99,49.263999938964844,80.66,98.52799987792969,16.132,3.330000122070306
2023-10-25,124.31,49.92399978637695,79.93,99.8479995727539,15.986000000000002,8.476000427246094
2023-10-26,121.35,50.808998107910156,79.58,101.61799621582031,15.916,3.8160037841796814
2023-10-27,118.35,50.53200149536133,79.36,101.06400299072266,15.872,1.4139970092773382
2023-10-30,92.89,50.547000885009766,78.78,101.09400177001953,15.756,-23.96000177001953
2023-10-31,104.95,48.00600051879883,79.41,96.01200103759766,15.882,-6.944001037597653
2023-11-01,62.89,47.75699996948242,78.66,95.51399993896484,15.732,-48.35599993896484
2023-11-02,59.77,48.56399917602539,79.06,97.12799835205078,15.812000000000001,-53.16999835205078
2023-11-03,56.57,48.05699920654297,77.2,96.11399841308594,15.440000000000001,-54.98399841308594
2023-11-06,72.04,44.832000732421875,75.88,89.66400146484375,15.176,-32.800001464843746
2023-11-07,99.75,46.05699920654297,75.36,92.11399841308594,15.072000000000001,-7.4359984130859385
2023-11-08,89.72,45.777000427246094,75.4,91.55400085449219,15.080000000000002,-16.91400085449219
2023-11-09,97.22,48.12900161743164,77.3,96.25800323486328,15.46,-14.498003234863283
2023-11-10,94.05,46.63199996948242,78.5,93.26399993896484,15.700000000000001,-14.913999938964848
2023-11-13,94.89,47.87300109863281,77.04,95.746002197265625,15.408000000000001,-16.264002197265626
2023-11-14,65.51,47.608001708984375,78.57,95.21600341796875,15.713999999999999,-45.42000341796874
2023-11-15,102.41,47.0369987487793,79.8,94.0739974975586,15.96,-7.623997497558598
2023-11-16,117.63,45.8489990234375,77.2,91.697998046875,15.440000000000001,10.492001953124994
2023-11-17,121.34,45.06399917602539,76.23,90.12799835205078,15.246000000000002,15.96600164794922
2023-11-20,106.08,45.82099914550781,76.66,91.641998291015625,15.332,-0.8939982910156274
2023-11-21,123.3,44.064998626708984,75.21,88.12999725341797,15.042,20.128002746582027
2023-11-22,109.69,44.61600112915039,75.1,89.23200225830078,15.02,5.437997741699217
2023-11-23,61.64,46.58000183105469,76.57,93.160003662109375,15.314,-46.834003662109374
2023-11-24,63.87,46.65700149536133,76.46,93.31400299072266,15.292,-44.73600299072266
2023-11-27,114.51,43.98400115966797,73.07,87.96800231933594,14.613999999999999,11.927997680664069
2023-11-28,121.94,42.77399826049805,72.5,85.5479965209961,14.5,21.892003479003904
2023-11-29,140.02,40.36000061035156,70.78,80.720001220703125,14.156,45.143998779296886
2023-11-30,168.76,42.090999603271484,70.56,84.18199920654297,14.112000000000002,70.46600079345703
2023-12-01,156.4,43.49599838256836,72.45,86.99199676513672,14.490000000000002,54.918003234863285
2023-12-04,111.76,40.104000091552734,70.43,80.20800018310547,14.086000000000002,17.465999816894534
2023-12-05,114.39,38.132999420166016,68.91,76.26599884033203,13.782,24.34200115966797
2023-12-06,129.54,39.3129997253418,68.96,78.6259994506836,13.792,37.1220005493164
2023-12-07,116.6,39.96799850463867,69.97,79.93599700927734,13.994,22.67000299072265
2023-12-08,103.68,38.597999572753906,68.62,77.19599914550781,13.724000000000002,12.760000854492192
2023-12-11,79.05,36.11800003051758,67.34,72.23600006103516,13.468000000000002,-6.654000061035161
2023-12-12,106.06,34.702999114990234,68.24,69.40599822998047,13.648,23.006001770019534
